original_sheet,table_name,rows,columns,column_names
VI respiration,postharvest_respiration_rates,6,3,"site, time, respiration"
VI respiracion,postharvest_respiration_kinetics_daily,40,10,"time, matu, rep, time_interval, carbon_ml, oxi_ml, oxi_mg, carbon_mg, oxi_por, carbon_por"
VI respiracion2,postharvest_respiration_replicates,44,8,"time, matu, rep, time_interval, oxi_por, carbon_por, carbon_ml, carbon_ac"
VI climateric_color,postharvest_climacteric_color_evolution,150,14,"days, regul, treat, color_l, color_a, color_b, color_c, color_h, color_g, axis_1, axis_2, treat_disc, pc1, pc2"
VI PosCord,postharvest_cordoba_cold_storage,500,13,"dia, fecha, temp, id, peso, l, a, b, c, t, de, dp, e"
VI PesoSpread,postharvest_weight_loss_kinetics,100,7,"temp, id, basal, num_3, num_7, num_10, num_14"
VI ColorSpread,postharvest_color_spread_matrix,300,8,"var, temp, id, basal, num_3, num_7, num_10, num_14"
VI Puncion,postharvest_puncture_firmness_test,65,6,"dia, temp, fu, di, gr, pi"
VI BTG,postharvest_texture_shear_force,46,8,"vr, dia, temp, n, mean, sd, se, ci"
Ensayo 5,postharvest_conservation_trial_5,15,2,"estado, respiracion"
Ensayo 6,postharvest_conservation_trial_6,36,3,"dia, tratamiento, respiracion"
VI Datac,postharvest_climacteric_parameters,18,5,"dia, temp, ph, ss, ac"
VI BTG2,postharvest_texture_firmness_replicates,18,8,"vr, dia, temp, n, mean, sd, se, ci"
VI Compre,postharvest_compression_elasticity_test,126,6,"dia, temp, fu, gr, di, id"
VI UNLP conserva1,postharvest_unlp_cold_storage_trial_1,27,4,"dia, rep, conc, aao"
VI UNLP conserva2,postharvest_unlp_cold_storage_trial_2,18,10,"dia, rep, fenoles, carotenoides, clorofila_a, clorofila_b, solidos, ph_inicial, acidez, ratio"
VI UNLP conserva3,postharvest_unlp_cold_storage_trial_3,96,6,"dia, firmeza, l_color, a_color, b_color, respiracion"
UNLP4_PCA,postharvest_unlp_multivariate_pca,3,17,"dia, firmeza, l_color, a_color, b_color, aao_0_125, aao_0_250, aao_0_500, fenoles, carotenoides, clo_a, clo_b, ph, att, solidos, ratio, respiracion"
aaoF,biochem_antioxidant_activity_fresh_samples,440,7,"year, phenotype, conc, rep_1n, rep_2s, rep_3e, rep_4o"
2022_quimico,biochem_chemical_profile_campaign_2022,103,20,"phenotype, site, maturity, fenoles, clo_a, clo_b, carotenoids, aao_0_025, aao_0_05, aao_0_1, aao_0_25, phi, ph81, acidity, ss_brix, phenols_ps, clo_a_ps, clo_b_ps, caro_ps, id"
homvar,biostatistics_variance_homogeneity_tests,16,4,"jar, species, method, phenols"
homvarcar,biostatistics_carbohydrates_variance_homogeneity,12,4,"method, caroten, clo_a, clo_b"
Prueba_secado,processing_drying_preliminary_trial,42,6,"temperatura, repeticion, hora, peso, peso_seco, col_5"
Secado_car,processing_drying_carbohydrates_dynamics,30,5,"dia, tratamiento, b_car, clo_a, clo_b"
calafate,comparative_calafate_phenotypic_profile,12,19,"season, light, fertilization, efd, pfd, fc, ff, ffw, dfw, matsec, tfs, pr, ra, ba, es, fnp, ffwp, pfpro, npr"
calafate2,comparative_calafate_antioxidants,1056,5,"season, light, fertilization, irradiance, npr"
Secado_aao,processing_drying_antioxidant_retention,198,7,"especie, dia, tratamiento, id, peso_seco, concentracion, aao"
Secado_anto,processing_drying_anthocyanin_degradation,30,4,"dia, tratamiento, id, antocianinas"
ER_flores_completa,phenology_entre_rios_flower_survey_complete,1327,12,"year, site, phenotype, id, ps_flor, n_ovu, polen_type, max_polen2, min_polen2, max_polen, min_polen, mean_polen"
microprop,biotechnology_in_vitro_micropropagation,47,4,"hormona, explanto, antioxidante, supervivencia"
